-33 2327 -33 2336
a10274 1344 0 4 16
a10273 1349 0 16 16
a10272 1366 0 2 16
a10271 1369 0 12 16
a10270 1382 0 2 16
a10279 1385 0 14 16
a10278 1400 0 8 16
a10277 1409 0 4 16
a10276 1414 0 14 16
a10275 1429 0 12 16
a10285 1442 0 8 16
a10284 1451 0 6 16
a10283 1458 0 14 16
a10282 1473 0 14 16
a10281 1488 0 14 16
a10280 1503 0 8 16
a10289 1512 0 6 16
a10288 1519 0 4 16
a10287 1524 0 16 16
a10286 1541 0 18 16
a10252 1560 0 6 16
a11583 1567 0 2 16
a10251 1570 0 6 16
a11582 1577 0 4 16
a10250 1582 0 2 16
a11581 1585 0 8 16
a11580 1594 0 14 16
a10259 1609 0 4 16
a10258 1614 0 6 16
a11589 1621 0 8 16
a10257 1630 0 16 16
a11588 1647 0 2 16
a10256 1650 0 18 16
a11587 1669 0 12 16
a10255 1682 0 14 16
a11586 1697 0 2 16
a10254 1700 0 6 16
a11585 1707 0 8 16
a10253 1716 0 12 16
a11584 1729 0 14 16
a10263 1744 0 28 16
a11594 1773 0 14 16
a10262 1788 0 42 16
a11593 1831 0 6 16
a10261 1838 0 14 16
a11592 1853 0 42 16
a10260 1896 0 14 16
a11591 1911 0 18 16
a11590 1930 0 24 16
a10269 1955 0 4 16
a10268 1960 0 8 16
a11599 1969 0 14 16
a10267 1984 0 8 16
a11598 1993 0 6 16
a10266 2000 0 6 16
a11597 2007 0 8 16
a10265 2016 0 4 16
a11596 2021 0 6 16
a10264 2028 0 30 16
a11595 2059 0 4 16
a10296 2064 0 4 16
a10295 2069 0 14 16
a10294 2084 0 4 16
a10293 2089 0 2 16
a10292 2092 0 2 16
a10291 2095 0 14 16
a10290 2110 0 12 16
a10299 2123 0 6 16
a10298 2130 0 6 16
a10297 2137 0 14 16
a1899 2152 0 6 16
a1897 2159 0 2 16
a1898 2162 0 2 16
a1895 2165 0 14 16
a1896 2180 0 10 16
a1893 2191 0 6 16
a1894 2198 0 2 16
a1891 2201 0 12 16
a1892 2214 0 18 16
a1888 2233 0 42 16
a1889 2276 0 8 16
a1886 2285 0 8 16
a1887 2294 0 12 16
a1884 2307 0 8 16
a1885 2316 0 12 16
a1882 2329 0 6 16
a1883 2336 0 14 16
a1880 2351 0 2 16
a1881 2354 0 16 16
a1890 2371 0 6 16
